,env_delta,env_max,env_mean,env_std,time
0,12.8932276767,-31.2860272717,-42.6844661097,2.4358186027,1.89242630385
1,14.2966859538,-29.8825689945,-41.5042023697,3.16309749726,5.73532879819
2,8.55602388483,-35.6232310635,-43.4866421589,1.51899376137,9.88589569161
3,11.5225908795,-32.6566640688,-43.429668581,1.89932106967,13.7404081633
4,7.5177875305,-36.6614674179,-43.6466686218,1.69799531383,21.2172335601
5,18.0351834062,-26.1440715421,-41.8498960119,3.88836446705,25.3097505669
6,11.092173337,-33.0870816114,-43.3525325819,1.99290719633,28.6476190476
7,10.6505904887,-33.5286644596,-43.6236941374,2.1347662025,31.7184580499
8,12.6426515218,-31.5366034266,-43.3328765004,2.55225168202,35.0853514739
